reseau;groupe;code;type;bloc_dwg;statut
AEP;Equipements;AEP_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
AEP;Ouvrages;AEP_CHAMBRE;CHAMBRE;REGARD_RECTANGULAIRE;MATCH
DEI;Affleurants;DEI_BOUCHE_INCENDIE_BI;BOUCHE_INCENDIE_BI;REGARD_RECTANGULAIRE;MATCH
EUS;Ouvrages;EUS_BOITE_BRANCHEMENT;BOITE_BRANCHEMENT;REGARD_RECTANGULAIRE;MATCH
EUS;Ouvrages;EUS_POSTE_RELEVAGE;POSTE_RELEVAGE;REGARD_CIRCULAIRE;MATCH
EUS;Equipements;EUS_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
EPL;Ouvrages;EPL_BOITE_BRANCHEMENT;BOITE_BRANCHEMENT;REGARD_RECTANGULAIRE;MATCH
EPL;Ouvrages;EPL_POSTE_RELEVAGE;POSTE_RELEVAGE;REGARD_CIRCULAIRE;MATCH
EPL;Ouvrages;EPL_EXUTOIRE;EXUTOIRE;NOEUD;MATCH
EPL;Ouvrages;EPL_BASSIN_RETENTION;BASSIN_RETENTION;NOEUD;MATCH
EPL;Ouvrages;EPL_PUISARD;PUISARD;PUITS;MATCH
EPL;Ouvrages;EPL_TETE_BUSE;TETE_BUSE;AQUEDUC;MATCH
EPL;Affleurants;EPL_AVALOIR;AVALOIR;AVALOIR_TAMPON;MATCH
EPL;Affleurants;EPL_GRILLE_AVALOIR;GRILLE_AVALOIR;AVALOIR_GRILLE;MATCH
EPL;Equipements;EPL_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
UNI;Ouvrages;UNI_BOITE_BRANCHEMENT;BOITE_BRANCHEMENT;REGARD_RECTANGULAIRE;MATCH
UNI;Ouvrages;UNI_POSTE_RELEVAGE;POSTE_RELEVAGE;REGARD_RECTANGULAIRE;MATCH
UNI;Ouvrages;UNI_DEVERSOIR;DEVERSOIR;NOEUD;MATCH
UNI;Ouvrages;UNI_BASSIN_RETENTION;BASSIN_RETENTION;NOEUD;MATCH
UNI;Ouvrages;UNI_PUISARD;PUISARD;PUITS;MATCH
UNI;Ouvrages;UNI_TETE_BUSE;TETE_BUSE;AQUEDUC;MATCH
UNI;Affleurants;UNI_AVALOIR;AVALOIR;AVALOIR | AVALOIR_TAMPON | AVALOIR_GRILLE | AVALOIR_REGARD_GRILLE;AMBIGU
UNI;Affleurants;UNI_GRILLE_AVALOIR;GRILLE_AVALOIR;AVALOIR_GRILLE | AVALOIR_REGARD_GRILLE | GRILLE;AMBIGU
UNI;Equipements;UNI_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
HYD;Equipements;HYD_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
ECL;Equipements;ECL_MAT;MAT;SUPPORT;MATCH
ECL;Equipements;ECL_LUMINAIRE;LUMINAIRE;CANDELABRE_POTELET;MATCH
ECL;Equipements;ECL_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
ECL;Ouvrages;ECL_CHAMBRE_TIRAGE;CHAMBRE_TIRAGE;REGARD_RECTANGULAIRE;MATCH
ECL;Terrain;ECL_RAS;RAS;REMONTEE AERO-SOUTERRAINE;MATCH
BTA;Equipements;BTA_POSTE;POSTE;HTA_POSTE-DE-TRANSFORMATION;MATCH
BTA;Equipements;BTA_BORNE;BORNE;BORNE_IRVE;MATCH
BTA;Equipements;BTA_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
BTA;Ouvrages;BTA_CHAMBRE_TIRAGE;CHAMBRE_TIRAGE;REGARD_RECTANGULAIRE;MATCH
BTA;Terrain;BTA_RAS;RAS;REMONTEE AERO-SOUTERRAINE;MATCH
HTA;Equipements;HTA_POSTE;POSTE;HTA_POSTE-DE-TRANSFORMATION;MATCH
HTA;Equipements;HTA_TRANSFORMATEUR;TRANSFORMATEUR;HTA_POSTE-DE-TRANSFORMATION;MATCH
HTA;Equipements;HTA_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
HTA;Ouvrages;HTA_CHAMBRE_TIRAGE;CHAMBRE_TIRAGE;REGARD_RECTANGULAIRE;MATCH
HTA;Terrain;HTA_RAS;RAS;REMONTEE AERO-SOUTERRAINE;MATCH
HTB;Equipements;HTB_POSTE;POSTE;HTA_POSTE-DE-TRANSFORMATION;MATCH
HTB;Equipements;HTB_TRANSFORMATEUR;TRANSFORMATEUR;HTA_POSTE-DE-TRANSFORMATION;MATCH
HTB;Equipements;HTB_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
HTB;Ouvrages;HTB_CHAMBRE_TIRAGE;CHAMBRE_TIRAGE;REGARD_RECTANGULAIRE;MATCH
HTB;Ouvrages;HTB_CHAMBRE_JONCTION;CHAMBRE_JONCTION;REGARD_RECTANGULAIRE;MATCH
HTB;Supports;HTB_PORTIQUE;PORTIQUE;SUPPORT;MATCH
HTB;Terrain;HTB_RAS;RAS;REMONTEE AERO-SOUTERRAINE;MATCH
TEL;Ouvrages;TEL_CHAMBRE_TIRAGE;CHAMBRE_TIRAGE;REGARD_RECTANGULAIRE;MATCH
TEL;Equipements;TEL_BORNE;BORNE;BORNE_IRVE;MATCH
TEL;Equipements;TEL_BOITIER;BOITIER;NOEUD;MATCH
TEL;Equipements;TEL_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
TEL;Terrain;TEL_RAS;RAS;REMONTEE AERO-SOUTERRAINE;MATCH
CFA;Ouvrages;CFA_CHAMBRE_TIRAGE;CHAMBRE_TIRAGE;REGARD_RECTANGULAIRE;MATCH
CFA;Equipements;CFA_BORNE;BORNE;BORNE_IRVE;MATCH
CFA;Equipements;CFA_BOITIER;BOITIER;NOEUD;MATCH
CFA;Equipements;CFA_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
CFA;Terrain;CFA_RAS;RAS;REMONTEE AERO-SOUTERRAINE;MATCH
GAZ;Equipements;GAZ_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
GAZ;Ouvrages;GAZ_CHAMBRE_TECHNIQUE;CHAMBRE_TECHNIQUE;REGARD_RECTANGULAIRE;MATCH
CHI;Equipements;CHI_EQUIPEMENT_SPECIFIQUE;EQUIPEMENT_SPECIFIQUE;NOEUD;MATCH
